Tangra v3.8.0.0
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,17,23,2,00,NaN,yes,483,0,25,0,no
2,ComparisonStar,17,23,,NaN,yes,486,0,353,0,no
3,ComparisonStar,17,23,,NaN,yes,493,0,737,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
78,[01:57:21.879],678.00,578.00,705.00,683.00,696.00,578.00
79,[01:57:21.919],692.00,674.00,693.00,687.00,679.00,578.00
80,[01:57:21.959],695.00,578.00,684.00,685.00,674.00,578.00
81,[01:57:21.999],693.00,578.00,2621.0,2632.0,8879.0,7339.0
82,[01:57:22.039],46383,35821,49305,49191,48355,39964
83,[01:57:22.079],49926,38335,49151,49338,48366,40026
84,[01:57:22.119],29231,22338,23275,23524,16654,13875
85,[01:57:22.159],680.00,540.00,687.00,683.00,697.00,564.00
86,[01:57:22.199],672.00,578.00,694.00,685.00,686.00,553.00
87,[01:57:22.240],673.00,578.00,682.00,684.00,680.00,556.00
88,[01:57:22.280],689.00,527.00,683.00,692.00,699.00,578.00
89,[01:57:22.320],688.00,578.00,684.00,693.00,672.00,578.00
90,[01:57:22.360],704.00,578.00,684.00,694.00,690.00,562.00
91,[01:57:22.400],710.00,667.00,667.00,672.00,677.00,564.00
92,[01:57:22.440],683.00,578.00,692.00,694.00,687.00,578.00
93,[01:57:22.480],682.00,578.00,698.00,668.00,681.00,578.00
94,[01:57:22.520],685.00,578.00,682.00,685.00,690.00,578.00
95,[01:57:22.560],672.00,528.00,707.00,686.00,679.00,578.00
96,[01:57:22.601],701.00,537.00,693.00,676.00,686.00,578.00
97,[01:57:22.641],680.00,578.00,690.00,684.00,672.00,578.00
98,[01:57:22.681],697.00,525.00,684.00,684.00,676.00,578.00
99,[01:57:22.721],687.00,535.00,699.00,690.00,679.00,569.00
100,[01:57:22.761],698.00,578.00,700.00,687.00,680.00,568.00
101,[01:57:22.801],683.00,531.00,677.00,697.00,697.00,568.00
102,[01:57:22.841],672.00,535.00,686.00,669.00,681.00,552.00
103,[01:57:22.881],687.00,518.00,691.00,691.00,687.00,578.00
104,[01:57:22.921],694.00,578.00,698.00,689.00,697.00,568.00
105,[01:57:22.961],670.00,578.00,694.00,670.00,683.00,578.00
106,[01:57:23.002],684.00,578.00,5866.0,6003.0,12089,10057
107,[01:57:23.042],49996,38131,49383,49307,48429,39981
108,[01:57:23.082],49689,38182,49124,49161,48218,39868
109,[01:57:23.122],25970,19907,20096,20102,13395,13595
110,[01:57:23.162],710.00,578.00,680.00,672.00,691.00,578.00
111,[01:57:23.202],686.00,537.00,697.00,672.00,679.00,578.00
