Tangra v3.8.0.0
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,17,23,2,00,NaN,yes,483,0,25,0,no
2,ComparisonStar,17,23,,NaN,yes,486,0,353,0,no
3,ComparisonStar,17,23,,NaN,yes,493,0,737,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
754,[01:57:48.993],684.00,533.00,681.00,683.00,1465.0,1127.0
755,[01:57:49.033],38867,29900,43813,43798,48443,39903
756,[01:57:49.073],49669,38269,49041,49131,48191,39796
757,[01:57:49.113],35706,27344,29964,29874,23134,19020
758,[01:57:49.153],685.00,524.00,675.00,667.00,686.00,578.00
759,[01:57:49.194],688.00,536.00,684.00,672.00,688.00,578.00
760,[01:57:49.234],684.00,578.00,681.00,691.00,689.00,548.00
761,[01:57:49.273],701.00,535.00,688.00,679.00,694.00,578.00
762,[01:57:49.314],677.00,578.00,694.00,668.00,712.00,558.00
763,[01:57:49.353],692.00,542.00,686.00,689.00,684.00,578.00
764,[01:57:49.394],693.00,540.00,693.00,677.00,695.00,552.00
765,[01:57:49.434],687.00,578.00,676.00,672.00,679.00,567.00
766,[01:57:49.474],678.00,530.00,678.00,697.00,680.00,578.00
767,[01:57:49.514],699.00,578.00,688.00,678.00,690.00,578.00
768,[01:57:49.554],673.00,578.00,666.00,706.00,693.00,578.00
769,[01:57:49.594],692.00,578.00,660.00,676.00,694.00,578.00
770,[01:57:49.635],688.00,528.00,682.00,681.00,694.00,573.00
771,[01:57:49.674],674.00,673.00,691.00,692.00,677.00,578.00
772,[01:57:49.715],686.00,526.00,698.00,672.00,678.00,559.00
773,[01:57:49.755],687.00,578.00,694.00,665.00,661.00,578.00
774,[01:57:49.795],680.00,664.00,680.00,668.00,695.00,578.00
775,[01:57:49.835],686.00,578.00,701.00,683.00,687.00,578.00
776,[01:57:49.875],709.00,578.00,694.00,677.00,695.00,578.00
777,[01:57:49.916],669.00,541.00,696.00,684.00,691.00,569.00
778,[01:57:49.955],668.00,578.00,678.00,685.00,689.00,578.00
779,[01:57:49.996],671.00,513.00,697.00,712.00,4696.0,3849.0
780,[01:57:50.035],42043,32551,47124,47107,48551,48572
781,[01:57:50.075],49763,38175,49078,49159,48379,39940
782,[01:57:50.116],32384,24817,26727,26561,19745,16439
783,[01:57:50.156],696.00,578.00,669.00,680.00,682.00,560.00
784,[01:57:50.196],675.00,578.00,683.00,676.00,682.00,578.00
785,[01:57:50.236],678.00,578.00,677.00,685.00,676.00,578.00
786,[01:57:50.276],686.00,667.00,685.00,675.00,686.00,578.00
787,[01:57:50.317],695.00,578.00,700.00,678.00,684.00,562.00
788,[01:57:50.356],676.00,532.00,675.00,680.00,692.00,578.00
789,[01:57:50.397],693.00,578.00,681.00,681.00,672.00,559.00
790,[01:57:50.437],683.00,530.00,686.00,683.00,673.00,578.00
791,[01:57:50.477],691.00,578.00,682.00,688.00,695.00,578.00
792,[01:57:50.517],689.00,529.00,678.00,684.00,685.00,561.00
793,[01:57:50.557],683.00,578.00,697.00,674.00,668.00,556.00
794,[01:57:50.598],697.00,526.00,687.00,681.00,684.00,578.00
795,[01:57:50.637],701.00,536.00,691.00,687.00,682.00,578.00
796,[01:57:50.677],685.00,526.00,673.00,682.00,689.00,578.00
797,[01:57:50.718],696.00,523.00,699.00,683.00,694.00,569.00
798,[01:57:50.757],685.00,578.00,665.00,694.00,678.00,578.00
799,[01:57:50.798],684.00,578.00,692.00,680.00,688.00,578.00
800,[01:57:50.838],692.00,578.00,682.00,683.00,696.00,578.00
801,[01:57:50.878],681.00,578.00,692.00,680.00,671.00,564.00
802,[01:57:50.918],684.00,526.00,697.00,683.00,685.00,578.00
803,[01:57:50.959],689.00,578.00,679.00,670.00,676.00,578.00
804,[01:57:50.998],662.00,578.00,1682.0,1581.0,7997.0,6442.0
805,[01:57:51.038],45354,35162,49069,49417,48523,39994
806,[01:57:51.079],49825,38264,49124,49320,48317,39986
807,[01:57:51.118],29116,22195,23257,23264,16549,13744
808,[01:57:51.159],678.00,530.00,670.00,684.00,672.00,578.00
809,[01:57:51.199],695.00,521.00,690.00,684.00,682.00,578.00
810,[01:57:51.239],697.00,578.00,669.00,665.00,695.00,578.00
811,[01:57:51.279],687.00,578.00,690.00,696.00,689.00,560.00
812,[01:57:51.319],669.00,578.00,707.00,691.00,673.00,573.00
813,[01:57:51.359],681.00,535.00,684.00,683.00,674.00,558.00
814,[01:57:51.400],698.00,578.00,683.00,704.00,701.00,578.00
815,[01:57:51.439],688.00,578.00,674.00,693.00,695.00,578.00
816,[01:57:51.479],678.00,524.00,677.00,674.00,700.00,569.00
817,[01:57:51.520],696.00,668.00,687.00,673.00,681.00,567.00
818,[01:57:51.560],676.00,542.00,672.00,693.00,680.00,578.00
819,[01:57:51.600],703.00,524.00,703.00,685.00,688.00,578.00
820,[01:57:51.640],687.00,543.00,673.00,696.00,705.00,578.00
821,[01:57:51.680],682.00,578.00,683.00,694.00,688.00,578.00
822,[01:57:51.720],694.00,578.00,680.00,688.00,677.00,578.00
823,[01:57:51.760],698.00,578.00,682.00,696.00,672.00,578.00
824,[01:57:51.801],675.00,518.00,692.00,693.00,684.00,578.00
825,[01:57:51.841],685.00,578.00,688.00,692.00,668.00,578.00
826,[01:57:51.881],694.00,578.00,695.00,677.00,700.00,579.00
827,[01:57:51.921],686.00,670.00,687.00,708.00,689.00,578.00
828,[01:57:51.961],697.00,528.00,693.00,694.00,686.00,578.00
829,[01:57:52.001],691.00,670.00,4983.0,5032.0,11296,9175.0
830,[01:57:52.041],48804,37702,49450,49166,48466,40043
831,[01:57:52.081],49797,38292,49045,49119,48302,39917
832,[01:57:52.121],25847,19639,19960,20088,13355,11124
833,[01:57:52.161],696.00,578.00,676.00,672.00,680.00,552.00
834,[01:57:52.201],701.00,578.00,674.00,695.00,683.00,566.00
835,[01:57:52.242],679.00,538.00,690.00,688.00,695.00,580.00
836,[01:57:52.282],682.00,578.00,687.00,673.00,690.00,561.00
837,[01:57:52.322],690.00,512.00,682.00,698.00,679.00,578.00
838,[01:57:52.362],685.00,529.00,677.00,683.00,664.00,581.00
839,[01:57:52.402],692.00,578.00,687.00,688.00,688.00,578.00
840,[01:57:52.442],672.00,535.00,688.00,678.00,679.00,563.00
841,[01:57:52.482],694.00,530.00,694.00,690.00,696.00,566.00
842,[01:57:52.522],691.00,578.00,680.00,669.00,687.00,578.00
843,[01:57:52.563],687.00,668.00,695.00,677.00,682.00,578.00
844,[01:57:52.602],681.00,578.00,683.00,679.00,675.00,578.00
845,[01:57:52.643],693.00,578.00,673.00,692.00,687.00,578.00
846,[01:57:52.683],692.00,578.00,678.00,700.00,684.00,578.00
847,[01:57:52.723],688.00,578.00,675.00,680.00,685.00,578.00
848,[01:57:52.764],676.00,578.00,693.00,673.00,673.00,578.00
849,[01:57:52.803],685.00,535.00,678.00,690.00,682.00,578.00
850,[01:57:52.843],686.00,578.00,670.00,688.00,692.00,569.00
851,[01:57:52.883],676.00,578.00,678.00,688.00,706.00,578.00
852,[01:57:52.923],682.00,520.00,694.00,683.00,686.00,578.00
853,[01:57:52.964],684.00,528.00,680.00,670.00,688.00,569.00
854,[01:57:53.004],2834.0,2849.0,8286.0,8262.0,14556,11849
855,[01:57:53.044],49806,38255,49201,49289,48495,39956
856,[01:57:53.084],49614,38259,49183,49336,48179,39913
857,[01:57:53.124],21258,16198,15486,15516,8859.0,7488.0
858,[01:57:53.164],684.00,531.00,694.00,684.00,668.00,578.00
859,[01:57:53.204],679.00,542.00,669.00,688.00,682.00,562.00
860,[01:57:53.244],681.00,578.00,685.00,683.00,688.00,578.00
861,[01:57:53.284],705.00,578.00,693.00,699.00,701.00,578.00
862,[01:57:53.325],699.00,532.00,677.00,683.00,691.00,578.00
863,[01:57:53.364],703.00,578.00,677.00,685.00,700.00,578.00
864,[01:57:53.405],686.00,578.00,691.00,689.00,683.00,578.00
865,[01:57:53.445],676.00,578.00,677.00,689.00,675.00,578.00
866,[01:57:53.485],683.00,674.00,671.00,686.00,706.00,578.00
867,[01:57:53.525],686.00,670.00,689.00,681.00,690.00,558.00
868,[01:57:53.565],688.00,675.00,695.00,679.00,671.00,578.00
869,[01:57:53.605],673.00,535.00,690.00,688.00,675.00,578.00
870,[01:57:53.646],676.00,578.00,662.00,688.00,700.00,578.00
871,[01:57:53.685],681.00,578.00,674.00,692.00,691.00,578.00
872,[01:57:53.726],681.00,578.00,676.00,677.00,678.00,578.00
873,[01:57:53.766],677.00,578.00,703.00,666.00,684.00,578.00
874,[01:57:53.806],684.00,578.00,677.00,688.00,679.00,578.00
875,[01:57:53.846],696.00,578.00,685.00,690.00,672.00,560.00
876,[01:57:53.886],693.00,663.00,678.00,683.00,686.00,578.00
877,[01:57:53.926],687.00,519.00,707.00,672.00,675.00,572.00
878,[01:57:53.967],685.00,578.00,676.00,697.00,692.00,563.00
879,[01:57:54.006],6177.0,4907.0,11687,11547,17756,17703
880,[01:57:54.046],49800,38264,49088,49148,48419,39993
881,[01:57:54.086],49654,38279,49225,49165,48238,39902
882,[01:57:54.127],19199,14646,13511,13519,6931.0,5818.0
883,[01:57:54.167],671.00,578.00,695.00,680.00,673.00,558.00
884,[01:57:54.207],693.00,528.00,679.00,675.00,691.00,569.00
885,[01:57:54.247],681.00,515.00,685.00,696.00,682.00,553.00
886,[01:57:54.287],684.00,546.00,693.00,672.00,677.00,579.00
887,[01:57:54.327],685.00,522.00,690.00,684.00,685.00,562.00
888,[01:57:54.367],685.00,526.00,681.00,697.00,696.00,554.00
889,[01:57:54.407],689.00,538.00,686.00,686.00,684.00,578.00
890,[01:57:54.448],693.00,533.00,701.00,683.00,677.00,557.00
891,[01:57:54.488],673.00,535.00,686.00,683.00,695.00,578.00
892,[01:57:54.528],702.00,578.00,695.00,685.00,675.00,578.00
893,[01:57:54.568],685.00,578.00,668.00,699.00,676.00,578.00
894,[01:57:54.608],694.00,667.00,687.00,676.00,704.00,578.00
895,[01:57:54.648],699.00,668.00,688.00,687.00,687.00,578.00
896,[01:57:54.688],691.00,533.00,685.00,691.00,691.00,578.00
897,[01:57:54.728],693.00,578.00,677.00,703.00,690.00,566.00
898,[01:57:54.768],702.00,578.00,673.00,673.00,661.00,569.00
899,[01:57:54.809],681.00,532.00,684.00,688.00,682.00,578.00
900,[01:57:54.849],675.00,578.00,678.00,691.00,699.00,578.00
901,[01:57:54.889],677.00,529.00,680.00,667.00,694.00,578.00
902,[01:57:54.929],699.00,578.00,694.00,679.00,685.00,578.00
903,[01:57:54.969],683.00,671.00,675.00,666.00,680.00,578.00
904,[01:57:55.009],9483.0,7466.0,14993,14942,21103,21007
905,[01:57:55.049],49778,38315,49236,49304,48379,39926
906,[01:57:55.089],49760,38193,49101,49148,48435,39987
907,[01:57:55.129],14557,11026,8972.0,8924.0,2524.0,2173.0
908,[01:57:55.169],680.00,521.00,692.00,686.00,690.00,561.00
909,[01:57:55.209],682.00,673.00,685.00,673.00,695.00,555.00
910,[01:57:55.250],685.00,578.00,680.00,684.00,701.00,578.00
911,[01:57:55.290],696.00,578.00,696.00,688.00,698.00,578.00
912,[01:57:55.330],687.00,524.00,694.00,691.00,676.00,570.00
913,[01:57:55.370],700.00,578.00,673.00,685.00,695.00,578.00
914,[01:57:55.411],678.00,507.00,683.00,694.00,696.00,578.00
915,[01:57:55.451],690.00,660.00,686.00,680.00,670.00,578.00
916,[01:57:55.490],689.00,578.00,673.00,675.00,689.00,578.00
917,[01:57:55.530],687.00,527.00,660.00,677.00,683.00,578.00
918,[01:57:55.571],671.00,578.00,684.00,684.00,673.00,567.00
919,[01:57:55.611],693.00,530.00,660.00,674.00,680.00,578.00
920,[01:57:55.651],700.00,578.00,689.00,688.00,679.00,550.00
921,[01:57:55.691],675.00,543.00,698.00,703.00,676.00,564.00
922,[01:57:55.731],672.00,673.00,684.00,673.00,685.00,564.00
923,[01:57:55.771],682.00,578.00,686.00,672.00,702.00,579.00
924,[01:57:55.812],688.00,578.00,679.00,689.00,674.00,578.00
925,[01:57:55.852],686.00,524.00,689.00,694.00,689.00,578.00
926,[01:57:55.892],693.00,578.00,686.00,689.00,690.00,578.00
927,[01:57:55.932],667.00,578.00,679.00,677.00,682.00,578.00
928,[01:57:55.972],686.00,529.00,688.00,700.00,695.00,570.00
929,[01:57:56.012],12861,13144,18229,18293,24434,20030
930,[01:57:56.052],49764,38229,49251,49284,48405,48532
931,[01:57:56.092],49816,38276,49115,49241,48354,39870
932,[01:57:56.132],12574,9546.0,6985.0,6914.0,691.00,690.00
933,[01:57:56.172],680.00,528.00,676.00,697.00,668.00,578.00
934,[01:57:56.212],666.00,512.00,687.00,694.00,688.00,578.00
935,[01:57:56.252],686.00,519.00,688.00,699.00,696.00,558.00
936,[01:57:56.293],690.00,524.00,700.00,681.00,684.00,578.00
937,[01:57:56.333],684.00,578.00,699.00,679.00,704.00,578.00
938,[01:57:56.373],699.00,525.00,677.00,678.00,674.00,578.00
939,[01:57:56.413],666.00,524.00,692.00,688.00,696.00,578.00
940,[01:57:56.453],675.00,671.00,692.00,685.00,689.00,578.00
941,[01:57:56.493],691.00,530.00,679.00,694.00,684.00,578.00
942,[01:57:56.533],685.00,578.00,694.00,680.00,673.00,578.00
943,[01:57:56.573],676.00,674.00,690.00,672.00,685.00,556.00
944,[01:57:56.614],679.00,536.00,676.00,687.00,685.00,578.00
945,[01:57:56.654],692.00,539.00,695.00,698.00,699.00,578.00
946,[01:57:56.694],688.00,578.00,708.00,683.00,679.00,575.00
947,[01:57:56.734],685.00,578.00,693.00,679.00,678.00,558.00
948,[01:57:56.774],676.00,578.00,684.00,684.00,684.00,559.00
949,[01:57:56.815],685.00,578.00,693.00,687.00,687.00,578.00
950,[01:57:56.854],680.00,578.00,689.00,675.00,670.00,563.00
951,[01:57:56.895],681.00,530.00,683.00,670.00,679.00,578.00
952,[01:57:56.935],695.00,673.00,705.00,677.00,702.00,578.00
953,[01:57:56.974],693.00,535.00,697.00,685.00,698.00,578.00
954,[01:57:57.015],16178,12586,21687,21580,27553,22760
955,[01:57:57.055],49754,38434,49210,49195,48344,39883
956,[01:57:57.095],49755,38271,49159,49144,43963,36360
957,[01:57:57.135],8020.0,6015.0,2473.0,2452.0,689.00,578.00
958,[01:57:57.175],696.00,522.00,664.00,679.00,688.00,571.00
959,[01:57:57.215],674.00,578.00,687.00,690.00,681.00,578.00
960,[01:57:57.255],683.00,578.00,674.00,678.00,679.00,555.00
961,[01:57:57.295],676.00,578.00,682.00,673.00,680.00,574.00
962,[01:57:57.336],701.00,534.00,687.00,685.00,686.00,572.00
963,[01:57:57.375],679.00,578.00,690.00,683.00,677.00,578.00
964,[01:57:57.416],685.00,578.00,686.00,692.00,685.00,558.00
965,[01:57:57.456],684.00,578.00,692.00,685.00,675.00,578.00
966,[01:57:57.496],678.00,578.00,678.00,693.00,699.00,578.00
967,[01:57:57.536],702.00,525.00,679.00,686.00,674.00,564.00
968,[01:57:57.576],683.00,535.00,688.00,692.00,687.00,558.00
969,[01:57:57.616],700.00,529.00,686.00,676.00,696.00,578.00
970,[01:57:57.656],686.00,578.00,698.00,677.00,681.00,571.00
971,[01:57:57.697],678.00,519.00,689.00,689.00,685.00,562.00
972,[01:57:57.736],673.00,535.00,694.00,694.00,682.00,562.00
973,[01:57:57.777],674.00,578.00,681.00,678.00,682.00,578.00
974,[01:57:57.817],692.00,543.00,693.00,680.00,698.00,553.00
975,[01:57:57.857],690.00,578.00,695.00,688.00,682.00,547.00
976,[01:57:57.897],685.00,578.00,686.00,684.00,668.00,578.00
977,[01:57:57.937],690.00,533.00,678.00,692.00,679.00,578.00
978,[01:57:57.978],680.00,578.00,683.00,704.00,693.00,567.00
979,[01:57:58.017],19690,15262,24977,25012,31028,25429
980,[01:57:58.057],49817,38264,49336,49381,48569,40055
981,[01:57:58.098],49772,38194,49180,48943,41750,34617
982,[01:57:58.138],6043.0,5756.0,727.00,768.00,684.00,557.00
983,[01:57:58.178],692.00,528.00,681.00,692.00,665.00,559.00
984,[01:57:58.219],699.00,671.00,678.00,694.00,684.00,578.00
985,[01:57:58.258],683.00,528.00,701.00,694.00,682.00,578.00
986,[01:57:58.298],688.00,578.00,674.00,677.00,685.00,578.00
987,[01:57:58.338],679.00,532.00,687.00,687.00,673.00,567.00
988,[01:57:58.378],707.00,578.00,678.00,674.00,677.00,578.00
989,[01:57:58.418],691.00,578.00,691.00,690.00,678.00,578.00
990,[01:57:58.459],694.00,672.00,689.00,674.00,713.00,578.00
991,[01:57:58.499],667.00,526.00,694.00,685.00,670.00,578.00
992,[01:57:58.539],688.00,578.00,684.00,686.00,710.00,578.00
993,[01:57:58.579],689.00,578.00,699.00,677.00,694.00,574.00
994,[01:57:58.619],695.00,578.00,675.00,675.00,680.00,575.00
995,[01:57:58.659],676.00,513.00,681.00,693.00,674.00,568.00
996,[01:57:58.700],678.00,519.00,692.00,694.00,687.00,578.00
997,[01:57:58.739],679.00,578.00,694.00,681.00,693.00,578.00
998,[01:57:58.779],699.00,526.00,683.00,689.00,673.00,578.00
999,[01:57:58.819],682.00,578.00,691.00,681.00,695.00,546.00
1000,[01:57:58.860],674.00,537.00,680.00,698.00,680.00,574.00
1001,[01:57:58.900],662.00,578.00,683.00,690.00,683.00,578.00
1002,[01:57:58.940],696.00,578.00,684.00,685.00,689.00,565.00
1003,[01:57:58.980],672.00,536.00,693.00,686.00,703.00,567.00
1004,[01:57:59.020],22983,23129,28233,28202,34111,28107
1005,[01:57:59.061],49859,38350,49244,49085,48446,39919
1006,[01:57:59.100],49649,38242,45798,45718,38657,32145
1007,[01:57:59.140],2707.0,1957.0,686.00,687.00,686.00,578.00
1008,[01:57:59.180],672.00,525.00,677.00,694.00,687.00,578.00
1009,[01:57:59.221],682.00,538.00,692.00,689.00,683.00,558.00
1010,[01:57:59.261],699.00,523.00,689.00,676.00,679.00,566.00
1011,[01:57:59.301],689.00,539.00,673.00,688.00,698.00,563.00
1012,[01:57:59.341],688.00,540.00,685.00,686.00,684.00,556.00
1013,[01:57:59.381],680.00,664.00,694.00,683.00,702.00,578.00
1014,[01:57:59.421],692.00,537.00,667.00,684.00,690.00,578.00
1015,[01:57:59.461],679.00,578.00,694.00,697.00,690.00,564.00
1016,[01:57:59.501],691.00,578.00,691.00,688.00,668.00,578.00
1017,[01:57:59.542],675.00,667.00,707.00,685.00,681.00,570.00
1018,[01:57:59.582],689.00,530.00,686.00,687.00,692.00,578.00
1019,[01:57:59.622],684.00,525.00,688.00,691.00,690.00,569.00
1020,[01:57:59.662],676.00,523.00,684.00,677.00,686.00,578.00
1021,[01:57:59.702],672.00,578.00,689.00,682.00,669.00,554.00
1022,[01:57:59.743],699.00,578.00,682.00,677.00,692.00,566.00
1023,[01:57:59.782],686.00,668.00,677.00,680.00,666.00,559.00
1024,[01:57:59.822],694.00,578.00,677.00,687.00,698.00,564.00
1025,[01:57:59.862],699.00,528.00,676.00,672.00,700.00,582.00
1026,[01:57:59.903],698.00,516.00,684.00,687.00,689.00,569.00
1027,[01:57:59.943],692.00,519.00,677.00,667.00,675.00,554.00
1028,[01:57:59.983],682.00,527.00,698.00,676.00,688.00,575.00
1029,[01:58:00.023],26451,20409,31648,31586,37488,30580
1030,[01:58:00.063],49835,38434,49102,49281,48456,39994
1031,[01:58:00.103],48850,37259,42486,42401,35544,29405
1032,[01:58:00.144],690.00,578.00,688.00,700.00,703.00,578.00
1033,[01:58:00.183],679.00,666.00,678.00,684.00,677.00,578.00
1034,[01:58:00.223],683.00,578.00,679.00,681.00,697.00,578.00
1035,[01:58:00.263],681.00,578.00,663.00,679.00,698.00,558.00
1036,[01:58:00.303],681.00,578.00,698.00,695.00,684.00,578.00
1037,[01:58:00.344],684.00,578.00,682.00,672.00,673.00,578.00
1038,[01:58:00.384],687.00,578.00,671.00,695.00,681.00,578.00
1039,[01:58:00.424],677.00,533.00,686.00,679.00,704.00,578.00
1040,[01:58:00.464],696.00,578.00,687.00,697.00,677.00,557.00
1041,[01:58:00.504],703.00,578.00,673.00,677.00,679.00,562.00
1042,[01:58:00.544],677.00,578.00,691.00,692.00,664.00,578.00
1043,[01:58:00.584],697.00,539.00,683.00,694.00,686.00,573.00
1044,[01:58:00.624],682.00,534.00,689.00,669.00,690.00,578.00
1045,[01:58:00.664],664.00,671.00,670.00,692.00,696.00,554.00
1046,[01:58:00.705],706.00,578.00,688.00,691.00,693.00,569.00
1047,[01:58:00.745],689.00,543.00,687.00,686.00,674.00,578.00
1048,[01:58:00.785],683.00,532.00,679.00,668.00,691.00,570.00
1049,[01:58:00.825],700.00,536.00,678.00,674.00,691.00,578.00
1050,[01:58:00.865],684.00,519.00,674.00,676.00,686.00,578.00
1051,[01:58:00.905],694.00,578.00,691.00,679.00,683.00,567.00
1052,[01:58:00.945],686.00,578.00,689.00,699.00,691.00,578.00
1053,[01:58:00.985],702.00,578.00,671.00,677.00,684.00,578.00
1054,[01:58:01.025],29763,23029,34877,34983,40779,33533
1055,[01:58:01.066],49889,38345,49106,49306,48383,39959
1056,[01:58:01.106],45358,34724,39239,39306,32288,26693
1057,[01:58:01.146],688.00,534.00,709.00,690.00,689.00,578.00
1058,[01:58:01.186],691.00,578.00,682.00,682.00,677.00,569.00
1059,[01:58:01.226],676.00,521.00,676.00,690.00,680.00,578.00
1060,[01:58:01.267],687.00,520.00,705.00,668.00,665.00,578.00
1061,[01:58:01.306],691.00,578.00,686.00,696.00,703.00,563.00
1062,[01:58:01.347],678.00,578.00,692.00,676.00,674.00,578.00
1063,[01:58:01.386],694.00,517.00,697.00,680.00,665.00,569.00
1064,[01:58:01.427],678.00,521.00,678.00,683.00,684.00,578.00
1065,[01:58:01.468],677.00,578.00,667.00,681.00,688.00,578.00
1066,[01:58:01.507],690.00,578.00,672.00,691.00,688.00,557.00
1067,[01:58:01.547],692.00,526.00,679.00,689.00,688.00,565.00
1068,[01:58:01.587],687.00,673.00,701.00,687.00,666.00,561.00
1069,[01:58:01.628],677.00,578.00,681.00,685.00,684.00,569.00
1070,[01:58:01.668],676.00,529.00,693.00,685.00,686.00,578.00
1071,[01:58:01.707],693.00,534.00,676.00,688.00,696.00,578.00
1072,[01:58:01.748],692.00,535.00,678.00,681.00,688.00,559.00
1073,[01:58:01.788],691.00,578.00,688.00,689.00,692.00,578.00
1074,[01:58:01.828],702.00,535.00,685.00,684.00,692.00,578.00
1075,[01:58:01.868],681.00,534.00,691.00,683.00,682.00,560.00
1076,[01:58:01.908],677.00,516.00,669.00,681.00,691.00,578.00
1077,[01:58:01.948],699.00,578.00,691.00,681.00,687.00,571.00
1078,[01:58:01.988],687.00,578.00,679.00,683.00,700.00,578.00
1079,[01:58:02.028],33065,25556,38345,38251,43950,36327
1080,[01:58:02.068],49797,38332,49154,49194,48524,39898
1081,[01:58:02.108],40627,31205,34783,34806,27749,23018
1082,[01:58:02.149],673.00,578.00,698.00,694.00,671.00,578.00
1083,[01:58:02.189],693.00,578.00,705.00,689.00,683.00,578.00
1084,[01:58:02.229],676.00,578.00,691.00,675.00,685.00,578.00
1085,[01:58:02.269],682.00,531.00,695.00,699.00,689.00,578.00
1086,[01:58:02.310],677.00,578.00,682.00,686.00,685.00,552.00
1087,[01:58:02.349],695.00,656.00,688.00,696.00,692.00,578.00
1088,[01:58:02.389],684.00,578.00,681.00,694.00,692.00,574.00
1089,[01:58:02.430],703.00,578.00,689.00,688.00,704.00,568.00
1090,[01:58:02.470],698.00,539.00,687.00,696.00,682.00,581.00
1091,[01:58:02.510],695.00,578.00,693.00,683.00,694.00,578.00
1092,[01:58:02.550],676.00,670.00,683.00,675.00,675.00,564.00
1093,[01:58:02.590],707.00,578.00,690.00,683.00,690.00,565.00
1094,[01:58:02.630],683.00,578.00,671.00,681.00,688.00,558.00
1095,[01:58:02.670],686.00,671.00,696.00,693.00,687.00,568.00
1096,[01:58:02.710],683.00,578.00,686.00,681.00,693.00,567.00
1097,[01:58:02.750],678.00,521.00,680.00,670.00,678.00,578.00
1098,[01:58:02.790],695.00,578.00,682.00,693.00,678.00,568.00
1099,[01:58:02.831],685.00,530.00,696.00,691.00,679.00,575.00
1100,[01:58:02.870],691.00,578.00,696.00,688.00,687.00,578.00
1101,[01:58:02.911],693.00,530.00,699.00,682.00,692.00,571.00
1102,[01:58:02.951],675.00,578.00,692.00,691.00,687.00,570.00
1103,[01:58:02.991],682.00,578.00,679.00,692.00,687.00,560.00
1104,[01:58:03.031],36489,28330,41625,41502,47306,38890
1105,[01:58:03.071],49747,38431,49030,49263,48408,39735
1106,[01:58:03.111],38598,29552,32577,32706,25836,21378
1107,[01:58:03.151],692.00,578.00,692.00,677.00,688.00,578.00
1108,[01:58:03.191],693.00,535.00,692.00,682.00,690.00,565.00
1109,[01:58:03.232],701.00,578.00,681.00,688.00,711.00,571.00
1110,[01:58:03.272],689.00,526.00,682.00,684.00,684.00,578.00
1111,[01:58:03.312],684.00,578.00,690.00,687.00,677.00,578.00
1112,[01:58:03.352],685.00,578.00,697.00,696.00,684.00,578.00
1113,[01:58:03.392],689.00,578.00,683.00,683.00,683.00,578.00
1114,[01:58:03.432],691.00,531.00,698.00,683.00,674.00,578.00
1115,[01:58:03.472],697.00,578.00,679.00,680.00,678.00,578.00
1116,[01:58:03.513],682.00,578.00,680.00,689.00,686.00,556.00
1117,[01:58:03.553],694.00,578.00,670.00,684.00,702.00,578.00
1118,[01:58:03.593],677.00,530.00,685.00,686.00,675.00,578.00
1119,[01:58:03.633],691.00,578.00,675.00,683.00,687.00,571.00
1120,[01:58:03.673],691.00,578.00,692.00,676.00,684.00,558.00
1121,[01:58:03.713],682.00,669.00,699.00,689.00,689.00,560.00
1122,[01:58:03.753],684.00,537.00,679.00,676.00,683.00,578.00
1123,[01:58:03.793],696.00,578.00,693.00,701.00,687.00,577.00
1124,[01:58:03.833],696.00,671.00,687.00,680.00,688.00,578.00
1125,[01:58:03.873],687.00,578.00,688.00,700.00,692.00,573.00
1126,[01:58:03.914],701.00,578.00,675.00,691.00,695.00,578.00
1127,[01:58:03.954],688.00,530.00,679.00,701.00,694.00,578.00
1128,[01:58:03.994],683.00,519.00,692.00,682.00,2621.0,2472.0
1129,[01:58:04.034],39916,30724,44993,44940,48400,39877
1130,[01:58:04.074],49923,38373,49407,49097,48363,39846
1131,[01:58:04.115],34024,26082,28201,28096,21314,17644
1132,[01:58:04.154],691.00,536.00,695.00,680.00,682.00,563.00
1133,[01:58:04.195],676.00,672.00,687.00,678.00,684.00,578.00
1134,[01:58:04.234],690.00,667.00,689.00,673.00,692.00,578.00
1135,[01:58:04.274],675.00,673.00,685.00,681.00,678.00,578.00
1136,[01:58:04.315],678.00,578.00,670.00,688.00,688.00,578.00
1137,[01:58:04.355],675.00,578.00,689.00,683.00,680.00,578.00
1138,[01:58:04.395],692.00,531.00,673.00,677.00,688.00,552.00
1139,[01:58:04.435],710.00,578.00,684.00,684.00,675.00,576.00
1140,[01:58:04.475],674.00,578.00,684.00,676.00,669.00,569.00
1141,[01:58:04.515],696.00,578.00,694.00,683.00,695.00,566.00
