Tangra v3.8.0.0
Measurments of 1 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,7,80,2,00,NaN,yes,827,0,370,0,no


FrameNo,Time (UT),Signal (1), Background (1)
2606,[01:59:03.276],462.00,454.00
2607,[01:59:03.316],451.00,459.00
2608,[01:59:03.356],442.00,446.00
2609,[01:59:03.396],454.00,460.00
2610,[01:59:03.436],443.00,448.00
2611,[01:59:03.476],449.00,451.00
2612,[01:59:03.517],444.00,450.00
2613,[01:59:03.557],454.00,448.00
2614,[01:59:03.597],449.00,445.00
2615,[01:59:03.637],450.00,450.00
2616,[01:59:03.677],458.00,447.00
2617,[01:59:03.717],454.00,453.00
2618,[01:59:03.757],448.00,453.00
2619,[01:59:03.797],453.00,452.00
2620,[01:59:03.837],462.00,448.00
2621,[01:59:03.877],441.00,437.00
2622,[01:59:03.917],451.00,444.00
2623,[01:59:03.957],455.00,452.00
2624,[01:59:03.997],833.00,759.00
2625,[01:59:04.038],32454,32555
2626,[01:59:04.078],32457,32540
2627,[01:59:04.118],15600,15584
2628,[01:59:04.158],458.00,451.00
2629,[01:59:04.198],441.00,448.00
2630,[01:59:04.238],447.00,451.00
2631,[01:59:04.278],448.00,455.00
2632,[01:59:04.318],445.00,453.00
2633,[01:59:04.359],449.00,452.00
2634,[01:59:04.399],445.00,441.00
2635,[01:59:04.439],450.00,455.00
2636,[01:59:04.479],465.00,448.00
2637,[01:59:04.519],454.00,442.00
2638,[01:59:04.559],443.00,456.00
2639,[01:59:04.599],438.00,450.00
2640,[01:59:04.639],446.00,448.00
2641,[01:59:04.679],453.00,451.00
2642,[01:59:04.720],440.00,447.00
2643,[01:59:04.760],451.00,448.00
2644,[01:59:04.800],458.00,450.00
2645,[01:59:04.840],459.00,452.00
2646,[01:59:04.880],457.00,451.00
2647,[01:59:04.920],449.00,454.00
2648,[01:59:04.960],457.00,453.00
2649,[01:59:05.001],3011.0,2960.0
2650,[01:59:05.041],32593,32564
2651,[01:59:05.081],32452,32449
2652,[01:59:05.121],13474,13430
2653,[01:59:05.161],449.00,453.00
2654,[01:59:05.202],462.00,452.00
2655,[01:59:05.241],448.00,454.00
2656,[01:59:05.281],456.00,453.00
2657,[01:59:05.321],449.00,448.00
2658,[01:59:05.361],460.00,447.00
2659,[01:59:05.401],460.00,451.00
2660,[01:59:05.441],457.00,454.00
2661,[01:59:05.482],443.00,452.00
2662,[01:59:05.522],453.00,452.00
2663,[01:59:05.562],446.00,455.00
2664,[01:59:05.602],448.00,457.00
2665,[01:59:05.642],458.00,445.00
2666,[01:59:05.683],443.00,441.00
2667,[01:59:05.722],440.00,450.00
2668,[01:59:05.762],442.00,448.00
2669,[01:59:05.802],453.00,450.00
2670,[01:59:05.843],456.00,449.00
2671,[01:59:05.883],458.00,446.00
2672,[01:59:05.923],437.00,446.00
2673,[01:59:05.964],449.00,459.00
2674,[01:59:06.003],5208.0,5159.0
2675,[01:59:06.043],32553,32572
2676,[01:59:06.084],32532,32530
2677,[01:59:06.123],11309,11295
2678,[01:59:06.163],450.00,448.00
2679,[01:59:06.204],445.00,448.00
2680,[01:59:06.244],456.00,451.00
2681,[01:59:06.284],447.00,456.00
2682,[01:59:06.324],454.00,444.00
2683,[01:59:06.364],464.00,440.00
2684,[01:59:06.404],445.00,443.00
2685,[01:59:06.444],448.00,439.00
2686,[01:59:06.484],446.00,452.00
2687,[01:59:06.525],438.00,442.00
2688,[01:59:06.565],430.00,451.00
2689,[01:59:06.605],438.00,453.00
2690,[01:59:06.645],460.00,456.00
2691,[01:59:06.685],441.00,441.00
2692,[01:59:06.725],461.00,443.00
2693,[01:59:06.765],455.00,448.00
2694,[01:59:06.805],459.00,443.00
2695,[01:59:06.846],447.00,453.00
2696,[01:59:06.885],448.00,454.00
2697,[01:59:06.926],447.00,443.00
2698,[01:59:06.966],455.00,441.00
2699,[01:59:07.006],7425.0,7400.0
2700,[01:59:07.046],32491,32542
2701,[01:59:07.086],32492,32491
2702,[01:59:07.126],8305.0,8349.0
2703,[01:59:07.166],446.00,450.00
2704,[01:59:07.206],443.00,450.00
2705,[01:59:07.246],440.00,458.00
2706,[01:59:07.286],447.00,445.00
2707,[01:59:07.327],453.00,450.00
2708,[01:59:07.367],440.00,449.00
2709,[01:59:07.407],448.00,449.00
2710,[01:59:07.447],443.00,453.00
2711,[01:59:07.487],448.00,446.00
2712,[01:59:07.527],450.00,449.00
2713,[01:59:07.568],451.00,438.00
2714,[01:59:07.607],450.00,447.00
2715,[01:59:07.647],455.00,445.00
2716,[01:59:07.688],444.00,454.00
2717,[01:59:07.728],440.00,438.00
2718,[01:59:07.768],437.00,448.00
2719,[01:59:07.808],445.00,458.00
2720,[01:59:07.848],454.00,447.00
2721,[01:59:07.888],450.00,447.00
2722,[01:59:07.928],445.00,446.00
2723,[01:59:07.968],450.00,454.00
2724,[01:59:08.009],9558.0,9602.0
2725,[01:59:08.049],32519,32585
2726,[01:59:08.089],32595,32488
2727,[01:59:08.129],6970.0,6970.0
2728,[01:59:08.169],451.00,445.00
2729,[01:59:08.209],466.00,449.00
2730,[01:59:08.249],448.00,444.00
2731,[01:59:08.289],449.00,456.00
2732,[01:59:08.329],449.00,462.00
2733,[01:59:08.369],449.00,449.00
2734,[01:59:08.409],464.00,448.00
2735,[01:59:08.450],450.00,451.00
2736,[01:59:08.490],453.00,451.00
2737,[01:59:08.530],452.00,453.00
2738,[01:59:08.570],448.00,458.00
2739,[01:59:08.610],446.00,448.00
2740,[01:59:08.651],455.00,456.00
2741,[01:59:08.690],445.00,447.00
2742,[01:59:08.730],451.00,445.00
2743,[01:59:08.771],453.00,449.00
2744,[01:59:08.811],440.00,452.00
2745,[01:59:08.852],442.00,445.00
2746,[01:59:08.891],443.00,451.00
2747,[01:59:08.931],456.00,453.00
2748,[01:59:08.971],442.00,454.00
2749,[01:59:09.011],11740,11780
2750,[01:59:09.051],32484,32447
2751,[01:59:09.091],32526,32558
2752,[01:59:09.131],4004.0,4075.0
2753,[01:59:09.172],452.00,452.00
2754,[01:59:09.212],459.00,443.00
2755,[01:59:09.252],467.00,443.00
2756,[01:59:09.292],452.00,450.00
2757,[01:59:09.332],449.00,448.00
2758,[01:59:09.372],439.00,462.00
2759,[01:59:09.412],450.00,448.00
2760,[01:59:09.452],462.00,448.00
2761,[01:59:09.492],443.00,453.00
2762,[01:59:09.533],443.00,448.00
2763,[01:59:09.573],461.00,446.00
2764,[01:59:09.613],447.00,457.00
2765,[01:59:09.653],443.00,452.00
2766,[01:59:09.693],466.00,447.00
2767,[01:59:09.733],448.00,451.00
2768,[01:59:09.773],454.00,456.00
2769,[01:59:09.813],448.00,445.00
2770,[01:59:09.853],448.00,453.00
2771,[01:59:09.894],454.00,453.00
2772,[01:59:09.934],464.00,450.00
2773,[01:59:09.974],460.00,446.00
2774,[01:59:10.014],13961,13979
2775,[01:59:10.054],32578,32625
2776,[01:59:10.094],32522,32517
2777,[01:59:10.134],2691.0,2753.0
2778,[01:59:10.174],442.00,447.00
2779,[01:59:10.214],447.00,448.00
2780,[01:59:10.255],454.00,451.00
2781,[01:59:10.295],448.00,456.00
2782,[01:59:10.335],445.00,453.00
2783,[01:59:10.375],458.00,452.00
2784,[01:59:10.415],448.00,456.00
2785,[01:59:10.455],456.00,448.00
2786,[01:59:10.495],455.00,456.00
2787,[01:59:10.535],457.00,447.00
2788,[01:59:10.575],448.00,453.00
2789,[01:59:10.616],447.00,445.00
2790,[01:59:10.656],456.00,452.00
2791,[01:59:10.696],436.00,453.00
2792,[01:59:10.736],439.00,451.00
2793,[01:59:10.777],438.00,458.00
2794,[01:59:10.816],458.00,453.00
2795,[01:59:10.856],452.00,452.00
2796,[01:59:10.897],443.00,444.00
2797,[01:59:10.936],453.00,437.00
2798,[01:59:10.977],457.00,454.00
2799,[01:59:11.017],16214,16208
2800,[01:59:11.057],32683,32508
2801,[01:59:11.097],31867,31902
2802,[01:59:11.137],437.00,452.00
2803,[01:59:11.177],435.00,452.00
2804,[01:59:11.217],440.00,450.00
2805,[01:59:11.257],437.00,448.00
2806,[01:59:11.297],443.00,450.00
2807,[01:59:11.337],456.00,438.00
2808,[01:59:11.378],452.00,457.00
2809,[01:59:11.418],461.00,453.00
2810,[01:59:11.458],452.00,443.00
2811,[01:59:11.498],447.00,445.00
2812,[01:59:11.538],469.00,457.00
2813,[01:59:11.578],456.00,434.00
2814,[01:59:11.619],445.00,450.00
2815,[01:59:11.658],457.00,455.00
2816,[01:59:11.699],443.00,451.00
2817,[01:59:11.739],462.00,459.00
2818,[01:59:11.779],461.00,434.00
2819,[01:59:11.819],457.00,459.00
2820,[01:59:11.859],454.00,445.00
2821,[01:59:11.899],463.00,450.00
2822,[01:59:11.939],458.00,446.00
2823,[01:59:11.980],447.00,446.00
2824,[01:59:12.019],18417,18376
2825,[01:59:12.060],32407,32639
2826,[01:59:12.101],30484,30684
2827,[01:59:12.140],447.00,446.00
2828,[01:59:12.180],433.00,447.00
2829,[01:59:12.220],438.00,463.00
2830,[01:59:12.260],439.00,452.00
2831,[01:59:12.300],440.00,448.00
2832,[01:59:12.340],440.00,456.00
2833,[01:59:12.380],451.00,450.00
2834,[01:59:12.421],446.00,449.00
2835,[01:59:12.461],462.00,447.00
2836,[01:59:12.501],457.00,443.00
2837,[01:59:12.541],451.00,457.00
2838,[01:59:12.581],453.00,452.00
2839,[01:59:12.621],455.00,443.00
2840,[01:59:12.661],456.00,447.00
2841,[01:59:12.701],446.00,456.00
2842,[01:59:12.741],446.00,445.00
2843,[01:59:12.782],453.00,460.00
2844,[01:59:12.821],459.00,445.00
2845,[01:59:12.862],449.00,444.00
2846,[01:59:12.902],462.00,445.00
2847,[01:59:12.942],456.00,447.00
2848,[01:59:12.982],440.00,456.00
2849,[01:59:13.022],20471,20584
2850,[01:59:13.062],32712,32543
2851,[01:59:13.102],27507,27540
2852,[01:59:13.142],447.00,440.00
2853,[01:59:13.183],452.00,464.00
2854,[01:59:13.223],440.00,446.00
2855,[01:59:13.263],445.00,447.00
2856,[01:59:13.303],456.00,453.00
2857,[01:59:13.343],441.00,456.00
2858,[01:59:13.383],454.00,444.00
2859,[01:59:13.423],448.00,457.00
2860,[01:59:13.463],444.00,449.00
2861,[01:59:13.503],448.00,455.00
2862,[01:59:13.543],454.00,457.00
2863,[01:59:13.584],450.00,448.00
2864,[01:59:13.624],452.00,452.00
2865,[01:59:13.664],448.00,449.00
2866,[01:59:13.704],460.00,455.00
2867,[01:59:13.744],444.00,447.00
2868,[01:59:13.784],446.00,445.00
2869,[01:59:13.824],455.00,450.00
2870,[01:59:13.864],446.00,447.00
2871,[01:59:13.905],438.00,445.00
2872,[01:59:13.945],447.00,456.00
2873,[01:59:13.985],446.00,446.00
2874,[01:59:14.025],22808,22726
2875,[01:59:14.065],32644,32542
2876,[01:59:14.105],26211,26182
2877,[01:59:14.146],448.00,452.00
2878,[01:59:14.185],454.00,452.00
2879,[01:59:14.225],466.00,452.00
2880,[01:59:14.266],458.00,447.00
2881,[01:59:14.306],455.00,451.00
2882,[01:59:14.346],452.00,443.00
2883,[01:59:14.386],457.00,448.00
2884,[01:59:14.426],443.00,441.00
2885,[01:59:14.466],449.00,444.00
2886,[01:59:14.506],449.00,444.00
2887,[01:59:14.547],454.00,448.00
2888,[01:59:14.586],443.00,448.00
2889,[01:59:14.627],446.00,445.00
2890,[01:59:14.667],462.00,448.00
2891,[01:59:14.707],448.00,452.00
2892,[01:59:14.747],438.00,450.00
2893,[01:59:14.787],461.00,447.00
2894,[01:59:14.827],458.00,460.00
2895,[01:59:14.867],446.00,448.00
2896,[01:59:14.907],457.00,446.00
2897,[01:59:14.947],446.00,447.00
2898,[01:59:14.988],468.00,444.00
2899,[01:59:15.028],24966,24961
2900,[01:59:15.068],32448,32610
2901,[01:59:15.108],24090,23908
2902,[01:59:15.149],449.00,456.00
2903,[01:59:15.188],440.00,448.00
2904,[01:59:15.228],442.00,449.00
2905,[01:59:15.268],450.00,449.00
2906,[01:59:15.308],455.00,446.00
2907,[01:59:15.349],434.00,459.00
2908,[01:59:15.389],451.00,446.00
2909,[01:59:15.429],438.00,445.00
2910,[01:59:15.469],439.00,451.00
2911,[01:59:15.509],442.00,446.00
2912,[01:59:15.549],445.00,452.00
2913,[01:59:15.589],453.00,447.00
2914,[01:59:15.630],461.00,448.00
2915,[01:59:15.670],442.00,454.00
2916,[01:59:15.710],448.00,453.00
2917,[01:59:15.750],447.00,446.00
2918,[01:59:15.790],454.00,452.00
2919,[01:59:15.830],457.00,452.00
2920,[01:59:15.870],439.00,443.00
2921,[01:59:15.910],438.00,444.00
2922,[01:59:15.951],439.00,441.00
2923,[01:59:15.990],444.00,462.00
2924,[01:59:16.031],27206,27256
2925,[01:59:16.070],32454,32584
2926,[01:59:16.111],21803,21863
2927,[01:59:16.151],459.00,458.00
2928,[01:59:16.191],460.00,445.00
2929,[01:59:16.231],458.00,458.00
2930,[01:59:16.271],459.00,454.00
2931,[01:59:16.311],456.00,451.00
2932,[01:59:16.351],447.00,455.00
2933,[01:59:16.392],450.00,448.00
2934,[01:59:16.432],443.00,440.00
2935,[01:59:16.472],454.00,450.00
2936,[01:59:16.512],457.00,445.00
2937,[01:59:16.552],450.00,450.00
2938,[01:59:16.592],444.00,452.00
2939,[01:59:16.633],463.00,439.00
2940,[01:59:16.672],450.00,461.00
2941,[01:59:16.712],459.00,448.00
2942,[01:59:16.752],452.00,453.00
2943,[01:59:16.793],455.00,447.00
2944,[01:59:16.833],442.00,452.00
2945,[01:59:16.873],447.00,456.00
2946,[01:59:16.913],448.00,463.00
2947,[01:59:16.953],462.00,457.00
2948,[01:59:16.993],444.00,452.00
2949,[01:59:17.033],29355,29509
2950,[01:59:17.073],32487,32637
2951,[01:59:17.113],19735,19714
2952,[01:59:17.153],453.00,449.00
2953,[01:59:17.193],456.00,446.00
2954,[01:59:17.235],452.00,445.00
2955,[01:59:17.274],458.00,446.00
2956,[01:59:17.314],449.00,456.00
2957,[01:59:17.354],445.00,442.00
2958,[01:59:17.395],451.00,448.00
2959,[01:59:17.434],452.00,451.00
2960,[01:59:17.474],442.00,453.00
2961,[01:59:17.515],444.00,446.00
2962,[01:59:17.554],452.00,447.00
2963,[01:59:17.595],445.00,452.00
2964,[01:59:17.635],449.00,441.00
2965,[01:59:17.675],444.00,448.00
2966,[01:59:17.715],456.00,448.00
2967,[01:59:17.755],461.00,459.00
2968,[01:59:17.795],453.00,448.00
2969,[01:59:17.835],454.00,443.00
2970,[01:59:17.876],448.00,449.00
2971,[01:59:17.916],454.00,445.00
2972,[01:59:17.956],444.00,447.00
2973,[01:59:17.996],456.00,445.00
2974,[01:59:18.036],31720,31548
2975,[01:59:18.076],32424,32532
2976,[01:59:18.116],16764,16713
2977,[01:59:18.156],464.00,451.00
2978,[01:59:18.196],451.00,451.00
2979,[01:59:18.236],451.00,447.00
2980,[01:59:18.277],457.00,452.00
2981,[01:59:18.317],459.00,452.00
2982,[01:59:18.357],446.00,460.00
2983,[01:59:18.397],455.00,458.00
2984,[01:59:18.437],446.00,448.00
2985,[01:59:18.477],446.00,443.00
2986,[01:59:18.518],456.00,450.00
2987,[01:59:18.557],460.00,451.00
2988,[01:59:18.597],448.00,451.00
2989,[01:59:18.638],441.00,446.00
2990,[01:59:18.678],442.00,443.00
2991,[01:59:18.718],442.00,452.00
2992,[01:59:18.758],451.00,450.00
2993,[01:59:18.798],448.00,450.00
