Tangra v3.7.0.3
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\2022-10-23 Eurybate\Didier\delai-acquisition\02_47_20.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,ZWO ASI 178 MM PRO,,0,255,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,6,15,3,50,NaN,yes,483,0,27,0,no
2,ComparisonStar,6,15,,NaN,yes,501,0,522,0,no
3,ComparisonStar,6,15,,NaN,yes,484,0,1003,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
75,[02:47:23.869],31.000,0.0000,28.000,0.0000,62.000,0.0000
76,[02:47:23.909],32.000,0.0000,30.000,29.000,38.000,23.000
77,[02:47:23.949],38.000,22.000,29.000,0.0000,44.000,23.000
78,[02:47:23.989],36.000,0.0000,23.000,0.0000,2244.0,2199.0
79,[02:47:24.030],3604.0,3510.0,9020.0,9032.0,12396,12548
80,[02:47:24.069],11688,11711,11997,12043,12650,12531
81,[02:47:24.109],11686,11704,9052.0,9122.0,4105.0,4049.0
82,[02:47:24.149],2321.0,2345.0,24.000,21.000,41.000,37.000
83,[02:47:24.189],34.000,22.000,24.000,0.0000,58.000,0.0000
84,[02:47:24.230],32.000,25.000,27.000,0.0000,42.000,33.000
85,[02:47:24.269],24.000,21.000,28.000,0.0000,27.000,37.000
86,[02:47:24.309],44.000,21.000,26.000,0.0000,46.000,42.000
87,[02:47:24.349],32.000,20.000,22.000,0.0000,51.000,23.000
88,[02:47:24.389],37.000,23.000,13.000,0.0000,37.000,20.000
89,[02:47:24.430],46.000,27.000,22.000,0.0000,42.000,23.000
90,[02:47:24.469],33.000,22.000,32.000,0.0000,47.000,0.0000
91,[02:47:24.509],34.000,46.000,28.000,24.000,38.000,22.000
92,[02:47:24.549],42.000,21.000,28.000,0.0000,61.000,25.000
93,[02:47:24.589],31.000,22.000,38.000,26.000,38.000,0.0000
94,[02:47:24.630],31.000,21.000,29.000,21.000,39.000,20.000
95,[02:47:24.669],29.000,0.0000,29.000,0.0000,25.000,24.000
96,[02:47:24.709],43.000,24.000,28.000,0.0000,41.000,20.000
97,[02:47:24.749],25.000,20.000,29.000,0.0000,36.000,34.000
98,[02:47:24.789],24.000,41.000,22.000,20.000,56.000,30.000
99,[02:47:24.830],19.000,0.0000,23.000,0.0000,38.000,23.000
100,[02:47:24.869],39.000,0.0000,22.000,0.0000,26.000,23.000
101,[02:47:24.909],22.000,21.000,28.000,26.000,34.000,32.000
102,[02:47:24.949],35.000,0.0000,26.000,0.0000,49.000,23.000
103,[02:47:24.989],32.000,0.0000,28.000,0.0000,2310.0,2244.0
104,[02:47:25.030],3674.0,3566.0,8976.0,9021.0,12458,12500
105,[02:47:25.069],11706,11714,11963,11955,12482,12555
106,[02:47:25.109],11720,11725,8701.0,8813.0,3672.0,3695.0
107,[02:47:25.149],1925.0,1984.0,32.000,0.0000,36.000,37.000
108,[02:47:25.189],47.000,0.0000,25.000,24.000,44.000,0.0000
109,[02:47:25.230],39.000,0.0000,22.000,0.0000,44.000,33.000
110,[02:47:25.269],36.000,0.0000,25.000,0.0000,38.000,0.0000
111,[02:47:25.309],31.000,0.0000,14.000,0.0000,27.000,37.000
112,[02:47:25.349],24.000,37.000,26.000,24.000,47.000,25.000
113,[02:47:25.389],38.000,20.000,19.000,0.0000,34.000,0.0000
114,[02:47:25.430],42.000,38.000,27.000,20.000,42.000,0.0000
115,[02:47:25.469],38.000,22.000,32.000,29.000,30.000,40.000
116,[02:47:25.509],31.000,36.000,23.000,30.000,39.000,21.000
117,[02:47:25.549],29.000,0.0000,27.000,0.0000,45.000,41.000
118,[02:47:25.589],44.000,21.000,30.000,0.0000,37.000,21.000
119,[02:47:25.630],51.000,0.0000,24.000,0.0000,42.000,0.0000
120,[02:47:25.669],41.000,23.000,34.000,0.0000,43.000,0.0000
121,[02:47:25.709],34.000,22.000,25.000,0.0000,48.000,38.000
122,[02:47:25.749],35.000,22.000,29.000,0.0000,52.000,24.000
123,[02:47:25.789],41.000,21.000,20.000,27.000,44.000,0.0000
124,[02:47:25.830],41.000,38.000,21.000,24.000,39.000,36.000
125,[02:47:25.869],33.000,25.000,25.000,27.000,32.000,20.000
126,[02:47:25.909],40.000,0.0000,30.000,0.0000,47.000,0.0000
127,[02:47:25.949],42.000,0.0000,16.000,29.000,33.000,0.0000
128,[02:47:25.989],31.000,23.000,34.000,0.0000,2360.0,2344.0
129,[02:47:26.030],3708.0,3681.0,9253.0,9179.0,12607,12469
130,[02:47:26.069],11631,11595,12013,11972,12625,12555
131,[02:47:26.109],11678,11672,8648.0,8679.0,3650.0,3681.0
132,[02:47:26.149],1935.0,1951.0,16.000,20.000,36.000,0.0000
133,[02:47:26.191],31.000,21.000,31.000,0.0000,48.000,23.000
134,[02:47:26.230],41.000,0.0000,22.000,0.0000,47.000,21.000
135,[02:47:26.269],42.000,21.000,31.000,20.000,48.000,21.000
136,[02:47:26.310],36.000,22.000,25.000,0.0000,50.000,20.000
137,[02:47:26.350],29.000,28.000,25.000,0.0000,46.000,0.0000
138,[02:47:26.389],46.000,0.0000,24.000,0.0000,43.000,20.000
139,[02:47:26.430],41.000,44.000,18.000,20.000,45.000,0.0000
140,[02:47:26.469],33.000,0.0000,41.000,0.0000,36.000,0.0000
141,[02:47:26.509],32.000,0.0000,32.000,0.0000,36.000,21.000
142,[02:47:26.549],45.000,20.000,18.000,24.000,50.000,33.000
143,[02:47:26.589],28.000,21.000,30.000,0.0000,36.000,25.000
144,[02:47:26.630],44.000,21.000,12.000,21.000,32.000,21.000
145,[02:47:26.670],32.000,0.0000,24.000,0.0000,42.000,22.000
146,[02:47:26.710],26.000,25.000,27.000,0.0000,45.000,23.000
147,[02:47:26.750],28.000,28.000,20.000,0.0000,35.000,22.000
148,[02:47:26.790],22.000,25.000,20.000,0.0000,36.000,38.000
149,[02:47:26.830],24.000,21.000,22.000,0.0000,48.000,20.000
150,[02:47:26.869],37.000,22.000,27.000,0.0000,36.000,0.0000
151,[02:47:26.910],20.000,0.0000,37.000,0.0000,42.000,22.000
152,[02:47:26.949],28.000,26.000,22.000,0.0000,41.000,0.0000
153,[02:47:26.990],40.000,40.000,24.000,31.000,2521.0,2407.0
154,[02:47:27.031],3753.0,3727.0,9293.0,9289.0,12621,12546
155,[02:47:27.070],11833,11708,11986,12074,12661,12548
156,[02:47:27.110],11672,11658,8363.0,8289.0,3216.0,3246.0
157,[02:47:27.150],1554.0,1558.0,24.000,0.0000,36.000,41.000
158,[02:47:27.189],39.000,20.000,17.000,0.0000,44.000,40.000
159,[02:47:27.230],26.000,21.000,26.000,21.000,29.000,37.000
160,[02:47:27.269],35.000,22.000,32.000,0.0000,48.000,0.0000
161,[02:47:27.310],26.000,23.000,26.000,0.0000,40.000,37.000
162,[02:47:27.350],29.000,0.0000,25.000,0.0000,40.000,21.000
163,[02:47:27.390],31.000,26.000,24.000,0.0000,38.000,23.000
164,[02:47:27.430],31.000,22.000,25.000,0.0000,39.000,34.000
165,[02:47:27.470],26.000,0.0000,23.000,0.0000,47.000,21.000
166,[02:47:27.510],50.000,41.000,36.000,0.0000,46.000,20.000
167,[02:47:27.550],30.000,25.000,38.000,24.000,28.000,22.000
168,[02:47:27.590],26.000,26.000,39.000,0.0000,18.000,38.000
169,[02:47:27.630],48.000,0.0000,19.000,0.0000,41.000,40.000
170,[02:47:27.670],39.000,21.000,22.000,0.0000,30.000,37.000
171,[02:47:27.710],32.000,0.0000,44.000,0.0000,54.000,37.000
172,[02:47:27.750],36.000,20.000,26.000,31.000,45.000,36.000
173,[02:47:27.790],39.000,21.000,34.000,0.0000,28.000,25.000
174,[02:47:27.830],44.000,24.000,37.000,21.000,28.000,44.000
175,[02:47:27.870],32.000,21.000,25.000,0.0000,37.000,25.000
176,[02:47:27.910],43.000,24.000,34.000,0.0000,38.000,21.000
177,[02:47:27.950],35.000,22.000,29.000,0.0000,32.000,23.000
178,[02:47:27.990],44.000,22.000,31.000,0.0000,2501.0,2494.0
179,[02:47:28.030],3846.0,3874.0,9312.0,9381.0,12542,12604
180,[02:47:28.070],11718,11703,11992,11957,12488,12505
181,[02:47:28.110],11727,11664,8516.0,8637.0,3527.0,3490.0
182,[02:47:28.150],1814.0,1823.0,26.000,0.0000,43.000,36.000
183,[02:47:28.190],42.000,0.0000,33.000,33.000,37.000,21.000
184,[02:47:28.230],30.000,0.0000,33.000,0.0000,33.000,0.0000
185,[02:47:28.270],30.000,22.000,33.000,0.0000,48.000,20.000
186,[02:47:28.310],32.000,20.000,22.000,0.0000,33.000,24.000
187,[02:47:28.350],30.000,20.000,27.000,0.0000,38.000,21.000
188,[02:47:28.390],33.000,22.000,27.000,0.0000,35.000,21.000
189,[02:47:28.430],43.000,25.000,30.000,22.000,40.000,23.000
190,[02:47:28.470],37.000,26.000,19.000,0.0000,30.000,37.000
191,[02:47:28.510],33.000,21.000,21.000,23.000,49.000,32.000
192,[02:47:28.550],32.000,36.000,25.000,0.0000,31.000,21.000
193,[02:47:28.590],34.000,23.000,40.000,0.0000,39.000,24.000
194,[02:47:28.630],31.000,23.000,24.000,0.0000,37.000,0.0000
195,[02:47:28.670],51.000,35.000,22.000,0.0000,43.000,30.000
196,[02:47:28.711],31.000,0.0000,37.000,0.0000,34.000,22.000
197,[02:47:28.750],39.000,39.000,28.000,0.0000,40.000,21.000
198,[02:47:28.790],30.000,35.000,21.000,0.0000,34.000,26.000
199,[02:47:28.830],32.000,0.0000,26.000,20.000,33.000,39.000
200,[02:47:28.870],33.000,0.0000,32.000,0.0000,37.000,0.0000
201,[02:47:28.911],27.000,0.0000,19.000,0.0000,35.000,22.000
202,[02:47:28.950],30.000,0.0000,26.000,0.0000,29.000,21.000
203,[02:47:28.990],35.000,35.000,36.000,0.0000,2614.0,2594.0
204,[02:47:29.030],3922.0,3983.0,9310.0,9415.0,12439,12490
205,[02:47:29.070],11686,11831,12063,11994,12563,12490
206,[02:47:29.111],11699,11679,8192.0,8203.0,3133.0,3166.0
207,[02:47:29.150],1443.0,1473.0,24.000,0.0000,48.000,33.000
208,[02:47:29.190],43.000,21.000,18.000,26.000,46.000,36.000
209,[02:47:29.230],33.000,37.000,22.000,0.0000,33.000,22.000
210,[02:47:29.270],36.000,22.000,25.000,0.0000,38.000,40.000
211,[02:47:29.311],39.000,21.000,19.000,20.000,29.000,22.000
212,[02:47:29.350],22.000,0.0000,25.000,0.0000,41.000,23.000
213,[02:47:29.390],32.000,20.000,28.000,0.0000,37.000,22.000
214,[02:47:29.430],44.000,22.000,30.000,0.0000,52.000,23.000
215,[02:47:29.470],24.000,0.0000,29.000,0.0000,29.000,0.0000
216,[02:47:29.511],43.000,44.000,27.000,20.000,45.000,21.000
217,[02:47:29.550],37.000,25.000,24.000,0.0000,49.000,21.000
218,[02:47:29.590],35.000,22.000,23.000,0.0000,40.000,22.000
219,[02:47:29.630],38.000,20.000,26.000,22.000,42.000,0.0000
220,[02:47:29.670],24.000,23.000,28.000,0.0000,37.000,23.000
221,[02:47:29.711],46.000,22.000,21.000,0.0000,53.000,21.000
222,[02:47:29.750],25.000,36.000,31.000,0.0000,35.000,21.000
223,[02:47:29.790],35.000,0.0000,32.000,20.000,49.000,0.0000
224,[02:47:29.830],28.000,0.0000,14.000,0.0000,40.000,21.000
225,[02:47:29.870],27.000,0.0000,45.000,0.0000,41.000,0.0000
226,[02:47:29.911],26.000,20.000,23.000,0.0000,36.000,23.000
227,[02:47:29.950],27.000,39.000,18.000,0.0000,47.000,22.000
228,[02:47:29.990],41.000,31.000,32.000,22.000,2683.0,2648.0
229,[02:47:30.030],4011.0,3984.0,9421.0,9423.0,12548,12580
230,[02:47:30.071],11656,11714,11902,12013,12505,12575
231,[02:47:30.112],11659,11702,8428.0,8518.0,3398.0,3395.0
232,[02:47:30.151],1716.0,1668.0,24.000,0.0000,43.000,21.000
233,[02:47:30.190],26.000,21.000,24.000,0.0000,46.000,29.000
234,[02:47:30.230],44.000,0.0000,28.000,0.0000,45.000,0.0000
235,[02:47:30.270],34.000,20.000,19.000,0.0000,43.000,22.000
236,[02:47:30.311],48.000,24.000,23.000,0.0000,30.000,24.000
237,[02:47:30.350],34.000,0.0000,33.000,26.000,45.000,40.000
