FrameNo,Time (UT),Signal (1), Background (1)
168,[21:49:34.404],385.00,374.00
169,[21:49:34.458],359.00,381.00
170,[21:49:34.513],388.00,373.00
171,[21:49:34.567],350.00,260.00
172,[21:49:34.622],427.00,299.00
173,[21:49:34.676],389.00,397.00
174,[21:49:34.731],370.00,317.00
175,[21:49:34.785],332.00,374.00
176,[21:49:34.840],387.00,386.00
177,[21:49:34.895],444.00,380.00
178,[21:49:34.949],363.00,390.00
179,[21:49:35.004],411.00,373.00
180,[21:49:35.058],10831,10775
181,[21:49:35.113],10780,11066
182,[21:49:35.167],359.00,260.00
183,[21:49:35.237],398.00,260.00
184,[21:49:35.276],383.00,391.00
185,[21:49:35.331],346.00,368.00
